Date,Open,High,Low,Close,Volume,Adj Close
1999-11-26,7913.91,7955.13,7558.40,7595.44,000,7595.44
1999-11-25,7919.68,7933.82,7808.92,7904.53,000,7904.53
1999-11-24,7938.12,8034.73,7913.21,7921.85,000,7921.85
1999-11-23,8105.12,8152.33,8007.17,8046.19,000,8046.19
1999-11-22,7967.05,8088.53,7944.02,8052.31,000,8052.31
1999-11-19,7787.20,7858.40,7756.34,7770.81,000,7770.81
1999-11-18,7633.61,7745.90,7626.05,7718.06,000,7718.06
1999-11-17,7687.04,7687.04,7612.19,7645.78,000,7645.78
1999-11-16,7576.95,7646.25,7554.17,7606.20,000,7606.20
1999-11-15,7575.61,7577.56,7492.48,7545.03,000,7545.03
1999-11-11,7464.99,7549.29,7464.99,7532.22,000,7532.22
1999-11-10,7356.73,7506.46,7355.38,7401.81,000,7401.81
1999-11-09,7420.05,7430.40,7362.63,7362.69,000,7362.69
1999-11-08,7318.28,7411.73,7261.31,7401.49,000,7401.49
1999-11-05,7466.63,7498.19,7404.31,7488.26,000,7488.26
1999-11-04,7589.93,7605.95,7460.21,7469.23,000,7469.23
1999-11-03,7729.10,7741.52,7572.11,7580.09,000,7580.09
1999-11-02,7782.08,7805.82,7687.72,7721.59,000,7721.59
1999-11-01,7874.26,7874.26,7808.90,7814.89,000,7814.89
1999-10-29,7751.51,7776.85,7667.81,7706.67,000,7706.67
1999-10-28,7729.62,7744.33,7669.49,7681.85,000,7681.85
1999-10-27,7731.17,7780.21,7669.83,7701.22,000,7701.22
1999-10-26,7690.31,7787.38,7667.21,7700.29,000,7700.29
1999-10-25,7595.64,7680.87,7570.71,7680.87,000,7680.87
1999-10-22,7676.58,7691.34,7505.07,7559.63,000,7559.63
1999-10-21,7766.74,7792.72,7640.31,7654.90,000,7654.90
1999-10-20,7713.98,7721.15,7653.85,7666.64,000,7666.64
1999-10-19,7759.93,7798.16,7684.30,7692.96,000,7692.96
1999-10-18,7806.25,7818.60,7726.62,7745.26,000,7745.26
1999-10-15,7923.19,7959.52,7815.78,7819.09,000,7819.09
1999-10-14,7777.70,7879.91,7773.21,7879.91,000,7879.91
1999-10-13,7806.92,7890.86,7784.44,7836.94,000,7836.94
1999-10-12,7658.21,7840.57,7658.21,7835.37,000,7835.37
1999-10-11,7555.94,7642.26,7554.07,7607.11,000,7607.11
1999-10-08,7610.29,7634.76,7542.47,7552.98,000,7552.98
1999-10-07,7558.09,7656.85,7558.09,7612.00,000,7612.00
1999-10-06,7526.91,7546.78,7462.45,7501.63,000,7501.63
1999-10-05,7743.72,7763.61,7545.72,7557.01,000,7557.01
1999-10-04,7668.69,7715.38,7592.34,7685.48,000,7685.48
1999-10-01,7633.08,7704.76,7613.92,7694.99,000,7694.99
1999-09-30,7598.96,7680.32,7566.99,7598.79,000,7598.79
1999-09-29,7464.82,7615.45,7415.58,7615.45,000,7615.45
1999-09-28,7636.47,7636.47,7537.47,7577.85,000,7577.85
1999-09-27,7789.84,7789.84,7755.86,7759.93,000,7759.93
1999-09-20,8028.42,8028.42,7947.94,7972.14,000,7972.14
1999-09-17,7987.74,8043.51,7903.30,7916.92,000,7916.92
1999-09-16,7897.56,8003.40,7897.56,7968.90,000,7968.90
1999-09-15,8077.41,8117.97,7969.38,7971.04,000,7971.04
1999-09-14,8195.61,8200.53,8054.87,8092.02,000,8092.02
1999-09-13,8201.00,8250.73,8159.19,8178.69,000,8178.69
1999-09-10,8105.73,8175.36,8089.86,8161.46,000,8161.46
1999-09-09,7988.09,8048.14,7955.81,8025.02,000,8025.02
1999-09-08,7968.83,8033.31,7891.66,7973.30,000,7973.30
1999-09-07,8184.46,8196.38,7933.28,7945.76,000,7945.76
1999-09-06,8072.77,8135.37,8006.25,8130.28,000,8130.28
1999-09-03,8208.70,8217.24,8069.07,8073.97,000,8073.97
1999-09-02,8349.03,8414.60,8214.61,8226.15,000,8226.15
1999-09-01,8225.61,8360.84,8225.61,8273.33,000,8273.33
1999-08-31,8075.80,8196.66,8072.45,8157.73,000,8157.73
1999-08-30,8054.83,8159.56,8041.42,8071.36,000,8071.36
1999-08-27,8082.91,8135.24,8027.86,8053.97,000,8053.97
1999-08-26,8171.28,8240.17,8077.18,8097.57,000,8097.57
1999-08-25,7999.13,8133.95,7954.35,8127.09,000,8127.09
1999-08-24,8212.38,8255.48,7984.39,7984.39,000,7984.39
1999-08-23,8168.77,8193.76,8086.27,8119.98,000,8119.98
1999-08-20,7976.84,8135.66,7975.52,8117.42,000,8117.42
1999-08-19,7959.53,8005.43,7916.43,7964.67,000,7964.67
1999-08-18,8105.07,8155.74,7992.15,7993.71,000,7993.71
1999-08-17,8043.00,8101.41,7924.01,8083.43,000,8083.43
1999-08-16,7748.15,8018.47,7748.15,8018.47,000,8018.47
1999-08-13,7530.52,7683.03,7504.88,7626.05,000,7626.05
1999-08-12,7294.53,7393.89,7277.81,7330.24,000,7330.24
1999-08-11,7276.96,7321.00,7206.02,7228.68,000,7228.68
